instance_type=c1.xlarge
10.31.179.89   10.168.15.211 8 1087.520000
10.31.179.89   10.170.8.148 8 999.230000
10.31.179.89   10.31.146.222 6 1085.250000
10.31.179.89   10.170.4.28 8 1063.760000
10.31.179.89   10.31.204.57 6 1069.670000
10.31.179.89   10.29.228.19 8 1074.860000
10.31.179.89   10.159.25.36 8 1067.540000
10.31.179.89   10.159.21.228 8 1066.160000
10.31.179.89   10.31.146.67 6 1064.780000
10.168.15.211   10.31.179.89 8 1085.860000
10.168.15.211   10.170.8.148 8 1063.770000
10.168.15.211   10.31.146.222 8 1064.240000
10.168.15.211   10.170.4.28 8 1086.340000
10.168.15.211   10.31.204.57 8 1063.950000
10.168.15.211   10.29.228.19 8 1064.830000
10.168.15.211   10.159.25.36 8 1065.250000
10.168.15.211   10.159.21.228 8 1067.410000
10.168.15.211   10.31.146.67 8 1068.880000
10.170.8.148   10.31.179.89 8 1085.760000
10.170.8.148   10.168.15.211 8 1073.340000
10.170.8.148   10.31.146.222 8 1063.660000
10.170.8.148   10.170.4.28 6 1062.130000
10.170.8.148   10.31.204.57 8 1085.910000
10.170.8.148   10.29.228.19 8 1063.300000
10.170.8.148   10.159.25.36 8 1071.570000
10.170.8.148   10.159.21.228 8 1063.600000
10.170.8.148   10.31.146.67 8 1062.870000
10.31.146.222   10.31.179.89 6 1084.880000
10.31.146.222   10.168.15.211 8 1069.630000
10.31.146.222   10.170.8.148 8 1064.760000
10.31.146.222   10.170.4.28 8 1068.870000
10.31.146.222   10.31.204.57 4 1062.090000
10.31.146.222   10.29.228.19 8 1084.920000
10.31.146.222   10.159.25.36 8 1065.990000
10.31.146.222   10.159.21.228 8 1063.820000
10.31.146.222   10.31.146.67 6 1062.930000
10.170.4.28   10.31.179.89 8 1086.990000
10.170.4.28   10.168.15.211 8 1067.470000
10.170.4.28   10.170.8.148 6 1063.450000
10.170.4.28   10.31.146.222 8 1065.250000
10.170.4.28   10.31.204.57 8 1084.720000
10.170.4.28   10.29.228.19 8 1065.670000
10.170.4.28   10.159.25.36 8 1068.130000
10.170.4.28   10.159.21.228 8 1067.880000
10.170.4.28   10.31.146.67 8 1064.920000
10.31.204.57   10.31.179.89 6 1085.030000
10.31.204.57   10.168.15.211 8 1075.030000
10.31.204.57   10.170.8.148 8 1069.600000
10.31.204.57   10.31.146.222 4 1068.160000
10.31.204.57   10.170.4.28 8 1065.270000
10.31.204.57   10.29.228.19 8 1067.190000
10.31.204.57   10.159.25.36 8 1069.030000
10.31.204.57   10.159.21.228 8 1085.880000
10.31.204.57   10.31.146.67 6 1068.900000
10.29.228.19   10.31.179.89 8 1087.190000
10.29.228.19   10.168.15.211 8 1066.290000
10.29.228.19   10.170.8.148 8 1071.640000
10.29.228.19   10.31.146.222 8 1063.800000
10.29.228.19   10.170.4.28 8 1064.000000
10.29.228.19   10.31.204.57 8 1079.500000
10.29.228.19   10.159.25.36 8 1086.670000
10.29.228.19   10.159.21.228 8 1061.860000
10.29.228.19   10.31.146.67 8 1079.310000
10.159.25.36   10.31.179.89 8 1087.280000
10.159.25.36   10.168.15.211 8 1068.830000
10.159.25.36   10.170.8.148 8 1064.780000
10.159.25.36   10.31.146.222 8 1072.830000
10.159.25.36   10.170.4.28 8 1085.830000
10.159.25.36   10.31.204.57 8 1065.240000
10.159.25.36   10.29.228.19 8 1065.710000
10.159.25.36   10.159.21.228 6 1068.510000
10.159.25.36   10.31.146.67 8 1066.370000
10.159.21.228   10.31.179.89 8 1086.200000
10.159.21.228   10.168.15.211 8 1070.000000
10.159.21.228   10.170.8.148 8 1074.450000
10.159.21.228   10.31.146.222 8 1086.320000
10.159.21.228   10.170.4.28 8 1064.720000
10.159.21.228   10.31.204.57 8 1066.690000
10.159.21.228   10.29.228.19 8 1085.540000
10.159.21.228   10.159.25.36 6 1067.030000
10.159.21.228   10.31.146.67 8 1069.380000
10.31.146.67   10.31.179.89 6 1086.960000
10.31.146.67   10.168.15.211 8 1070.580000
10.31.146.67   10.170.8.148 8 1086.350000
10.31.146.67   10.31.146.222 6 1067.660000
10.31.146.67   10.170.4.28 8 1071.890000
10.31.146.67   10.31.204.57 6 1070.850000
10.31.146.67   10.29.228.19 8 1086.170000
10.31.146.67   10.159.25.36 8 1067.800000
10.31.146.67   10.159.21.228 8 1086.730000
