instance_type=c1.medium
10.158.10.219 10.30.137.112 1364996637.665318 935.930000
10.158.10.219 10.30.137.112 1364996648.036439 938.500000
10.158.10.219 10.30.137.112 1364996658.486584 939.700000
10.158.10.219 10.30.137.112 1364996669.468408 939.650000
10.158.10.219 10.30.137.112 1364996680.061266 938.960000
10.158.10.219 10.30.137.112 1364996691.437381 937.380000
10.158.10.219 10.30.137.112 1364996701.815567 939.950000
10.158.10.219 10.30.137.112 1364996713.063037 938.520000
10.158.10.219 10.30.137.112 1364996723.893103 936.460000
10.158.10.219 10.30.137.112 1364996735.387463 917.800000
10.158.10.219 10.30.137.112 1364996747.638693 941.150000
10.158.10.219 10.30.137.112 1364996758.016705 937.270000
10.158.10.219 10.30.137.112 1364996768.411695 904.000000
10.158.10.219 10.30.137.112 1364996779.565019 938.420000
10.158.10.219 10.30.137.112 1364996791.204676 938.110000
10.158.10.219 10.30.137.112 1364996802.050494 935.750000
10.158.10.219 10.30.137.112 1364996815.450075 938.230000
10.158.10.219 10.30.137.112 1364996825.836757 930.390000
10.158.10.219 10.30.137.112 1364996836.672448 935.480000
10.158.10.219 10.30.137.112 1364996847.053748 932.390000
10.158.10.219 10.30.137.112 1364996857.441930 936.110000
10.158.10.219 10.30.137.112 1364996868.052393 935.620000
10.158.10.219 10.30.137.112 1364996878.658319 935.920000
10.158.10.219 10.30.137.112 1364996890.060769 929.750000
10.158.10.219 10.30.137.112 1364996900.677529 918.210000
10.158.10.219 10.30.137.112 1364996911.773309 931.960000
10.158.10.219 10.30.137.112 1364996922.598924 938.890000
10.158.10.219 10.30.137.112 1364996932.973626 929.950000
10.158.10.219 10.30.137.112 1364996944.577758 936.230000
10.158.10.219 10.30.137.112 1364996955.194643 933.120000
10.158.10.219 10.30.137.112 1364996965.799710 938.270000
10.158.10.219 10.30.137.112 1364996976.419767 930.350000
10.158.10.219 10.30.137.112 1364996987.130695 938.980000
10.158.10.219 10.30.137.112 1364996997.754455 926.240000
10.158.10.219 10.30.137.112 1364997008.983161 938.820000
10.158.10.219 10.30.137.112 1364997019.583133 937.290000
10.158.10.219 10.30.137.112 1364997029.977437 932.600000
10.158.10.219 10.30.137.112 1364997041.075329 931.310000
10.158.10.219 10.30.137.112 1364997051.937213 939.130000
10.158.10.219 10.30.137.112 1364997062.318189 939.460000
10.158.10.219 10.30.137.112 1364997077.111927 909.620000
10.158.10.219 10.30.137.112 1364997091.715178 934.140000
10.158.10.219 10.30.137.112 1364997102.307994 938.120000
10.158.10.219 10.30.137.112 1364997112.928210 927.360000
10.158.10.219 10.30.137.112 1364997123.531749 940.520000
10.158.10.219 10.30.137.112 1364997133.902524 940.380000
10.158.10.219 10.30.137.112 1364997144.508133 935.230000
10.158.10.219 10.30.137.112 1364997154.884973 898.370000
10.158.10.219 10.30.137.112 1364997166.123671 918.240000
10.158.10.219 10.30.137.112 1364997176.934464 932.220000
