instance_type=c1.medium
10.28.220.60   10.159.21.35 8 938.710000
10.28.220.60   10.159.23.239 8 938.540000
10.28.220.60   10.31.175.4 8 913.400000
10.28.220.60   10.28.189.58 4 938.770000
10.28.220.60   10.31.191.96 8 883.310000
10.28.220.60   10.159.22.177 8 938.790000
10.28.220.60   10.31.199.242 8 939.230000
10.28.220.60   10.28.219.143 6 918.940000
10.28.220.60   10.28.136.117 6 919.910000
10.159.21.35   10.28.220.60 8 933.440000
10.159.21.35   10.159.23.239 6 1052.050000
10.159.21.35   10.31.175.4 8 888.830000
10.159.21.35   10.28.189.58 8 1080.750000
10.159.21.35   10.31.191.96 8 1063.980000
10.159.21.35   10.159.22.177 6 1062.500000
10.159.21.35   10.31.199.242 8 1067.500000
10.159.21.35   10.28.219.143 8 923.360000
10.159.21.35   10.28.136.117 8 939.500000
10.159.23.239   10.28.220.60 8 930.860000
10.159.23.239   10.159.21.35 6 1082.730000
10.159.23.239   10.31.175.4 8 924.150000
10.159.23.239   10.28.189.58 8 1082.110000
10.159.23.239   10.31.191.96 8 1065.400000
10.159.23.239   10.159.22.177 6 1064.960000
10.159.23.239   10.31.199.242 8 1061.940000
10.159.23.239   10.28.219.143 8 927.420000
10.159.23.239   10.28.136.117 8 937.450000
10.31.175.4   10.28.220.60 8 916.440000
10.31.175.4   10.159.21.35 8 932.870000
10.31.175.4   10.159.23.239 8 897.920000
10.31.175.4   10.28.189.58 8 933.080000
10.31.175.4   10.31.191.96 6 834.110000
10.31.175.4   10.159.22.177 8 934.610000
10.31.175.4   10.31.199.242 6 930.610000
10.31.175.4   10.28.219.143 8 920.050000
10.31.175.4   10.28.136.117 8 923.140000
10.28.189.58   10.28.220.60 4 923.530000
10.28.189.58   10.159.21.35 8 1078.790000
10.28.189.58   10.159.23.239 8 1076.690000
10.28.189.58   10.31.175.4 8 932.740000
10.28.189.58   10.31.191.96 8 1080.580000
10.28.189.58   10.159.22.177 8 1067.920000
10.28.189.58   10.31.199.242 8 1063.460000
10.28.189.58   10.28.219.143 6 922.650000
10.28.189.58   10.28.136.117 6 937.640000
10.31.191.96   10.28.220.60 8 925.620000
10.31.191.96   10.159.21.35 8 1083.290000
10.31.191.96   10.159.23.239 8 1071.450000
10.31.191.96   10.31.175.4 6 926.670000
10.31.191.96   10.28.189.58 8 1082.840000
10.31.191.96   10.159.22.177 8 1066.420000
10.31.191.96   10.31.199.242 6 1066.820000
10.31.191.96   10.28.219.143 8 913.400000
10.31.191.96   10.28.136.117 8 932.420000
10.159.22.177   10.28.220.60 8 921.070000
10.159.22.177   10.159.21.35 6 1081.380000
10.159.22.177   10.159.23.239 6 1061.790000
10.159.22.177   10.31.175.4 8 931.760000
10.159.22.177   10.28.189.58 8 1080.540000
10.159.22.177   10.31.191.96 8 1068.560000
10.159.22.177   10.31.199.242 8 1071.990000
10.159.22.177   10.28.219.143 8 922.380000
10.159.22.177   10.28.136.117 8 933.570000
10.31.199.242   10.28.220.60 8 878.480000
10.31.199.242   10.159.21.35 8 1080.410000
10.31.199.242   10.159.23.239 8 1068.690000
10.31.199.242   10.31.175.4 6 899.820000
10.31.199.242   10.28.189.58 8 1082.800000
10.31.199.242   10.31.191.96 6 1072.990000
10.31.199.242   10.159.22.177 8 1066.240000
10.31.199.242   10.28.219.143 8 875.540000
10.31.199.242   10.28.136.117 8 909.630000
10.28.219.143   10.28.220.60 6 918.400000
10.28.219.143   10.159.21.35 8 932.290000
10.28.219.143   10.159.23.239 8 931.510000
10.28.219.143   10.31.175.4 8 907.590000
10.28.219.143   10.28.189.58 6 925.910000
10.28.219.143   10.31.191.96 8 930.620000
10.28.219.143   10.159.22.177 8 933.140000
10.28.219.143   10.31.199.242 8 896.320000
10.28.219.143   10.28.136.117 6 907.820000
10.28.136.117   10.28.220.60 6 912.690000
10.28.136.117   10.159.21.35 8 936.000000
10.28.136.117   10.159.23.239 8 872.000000
10.28.136.117   10.31.175.4 8 915.030000
10.28.136.117   10.28.189.58 6 933.220000
10.28.136.117   10.31.191.96 8 934.680000
10.28.136.117   10.159.22.177 8 937.520000
10.28.136.117   10.31.199.242 8 910.550000
10.28.136.117   10.28.219.143 6 908.170000
